"11a7 -- Immigration and emigration by age (5-year), sex and area, 1990-2024"

"Area","Sex","Age","Information","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Hirvensalmi","Total","Total","Emigration from Finland",0,1,1,2,6,1,5,1,7,3,6,1,1,2,5,0,2,1,0,1,4,3,1,0,1,3,1,1,2,4,0,0,0,1,3
"Hirvensalmi","Total","Total","Net migration",1,6,2,-1,-2,0,3,1,1,-1,-6,5,1,0,-1,3,-1,-1,7,-1,-3,-2,28,1,13,12,13,8,0,8,19,0,13,36,2
"Hollola","Total","Total","Immigration to Finland",55,44,31,22,44,36,35,33,19,33,27,46,58,41,49,60,43,45,73,58,45,45,46,54,45,30,33,43,47,52,40,54,49,76,53
"Hollola","Total","Total","Emigration from Finland",24,18,20,13,27,19,39,31,21,30,46,27,25,37,34,28,24,28,23,33,30,46,32,34,26,32,44,41,24,40,22,21,34,31,24
"Hollola","Total","Total","Net migration",31,26,11,9,17,17,-4,2,-2,3,-19,19,33,4,15,32,19,17,50,25,15,-1,14,20,19,-2,-11,2,23,12,18,33,15,45,29
"Huittinen","Total","Total","Immigration to Finland",7,31,18,14,3,11,7,9,19,25,25,10,32,15,30,30,42,29,46,43,27,28,30,28,41,28,36,28,23,14,15,30,33,77,84
"Huittinen","Total","Total","Emigration from Finland",7,4,1,12,3,6,3,0,3,8,11,13,6,8,16,16,16,14,17,17,18,7,13,13,20,5,12,7,7,2,9,5,12,11,7
"Huittinen","Total","Total","Net migration",0,27,17,2,0,5,4,9,16,17,14,-3,26,7,14,14,26,15,29,26,9,21,17,15,21,23,24,21,16,12,6,25,21,66,77
"Humppila","Total","Total","Immigration to Finland",10,3,4,14,3,0,2,8,3,1,2,3,8,7,4,5,0,8,2,3,5,5,3,6,5,4,6,16,2,0,3,2,1,3,7
"Humppila","Total","Total","Emigration from Finland",7,3,3,1,0,1,2,1,2,1,4,1,3,7,0,2,2,6,0,0,1,1,1,1,0,0,1,0,3,2,0,1,2,2,2
"Humppila","Total","Total","Net migration",3,0,1,13,3,-1,0,7,1,0,-2,2,5,0,4,3,-2,2,2,3,4,4,2,5,5,4,5,16,-1,-2,3,1,-1,1,5
"Hyrynsalmi","Total","Total","Immigration to Finland",2,1,3,2,1,1,3,2,4,0,4,2,5,4,10,3,5,6,3,1,10,1,5,1,3,0,5,2,8,7,3,3,2,8,6
"Hyrynsalmi","Total","Total","Emigration from Finland",0,0,0,1,0,2,0,7,0,2,1,0,2,1,0,1,1,1,2,1,1,2,3,0,1,0,2,1,1,1,0,4,2,0,0
"Hyrynsalmi","Total","Total","Net migration",2,1,3,1,1,-1,3,-5,4,-2,3,2,3,3,10,2,4,5,1,0,9,-1,2,1,2,0,3,1,7,6,3,-1,0,8,6
"Hyvinkää","Total","Total","Immigration to Finland",100,149,114,100,75,89,76,125,66,81,121,105,131,108,117,145,151,120,199,145,147,169,191,200,191,154,214,257,177,181,265,240,434,548,390
"Hyvinkää","Total","Total","Emigration from Finland",35,40,38,35,71,73,79,75,85,88,73,93,66,69,58,77,80,64,63,51,69,88,91,105,104,89,116,103,131,121,105,81,83,102,82
"Hyvinkää","Total","Total","Net migration",65,109,76,65,4,16,-3,50,-19,-7,48,12,65,39,59,68,71,56,136,94,78,81,100,95,87,65,98,154,46,60,160,159,351,446,308
"Hämeenkyrö","Total","Total","Immigration to Finland",6,12,7,14,4,8,4,3,4,6,9,14,11,13,12,7,11,16,16,17,20,4,21,7,12,14,37,37,11,17,19,31,27,36,36
"Hämeenkyrö","Total","Total","Emigration from Finland",7,21,3,1,7,9,4,9,7,9,11,4,2,3,2,10,8,17,6,3,6,4,14,11,4,10,9,11,13,16,16,2,5,8,11
"Hämeenkyrö","Total","Total","Net migration",-1,-9,4,13,-3,-1,0,-6,-3,-3,-2,10,9,10,10,-3,3,-1,10,14,14,0,7,-4,8,4,28,26,-2,1,3,29,22,28,25
"Hämeenlinna","Total","Total","Immigration to Finland",136,258,146,129,107,145,168,119,115,156,102,165,160,133,189,167,209,216,228,198,203,273,382,377,309,338,413,322,220,262,294,299,493,818,875
"Hämeenlinna","Total","Total","Emigration from Finland",39,50,48,41,55,62,77,73,79,89,98,127,71,97,97,115,78,111,86,109,90,97,74,82,127,130,144,130,168,125,139,119,141,106,140
"Hämeenlinna","Total","Total","Net migration",97,208,98,88,52,83,91,46,36,67,4,38,89,36,92,52,131,105,142,89,113,176,308,295,182,208,269,192,52,137,155,180,352,712,735
"Ii","Total","Total","Immigration to Finland",15,13,12,11,4,11,10,4,9,26,12,11,22,42,27,45,12,11,10,29,8,19,17,3,14,10,9,13,5,9,9,14,11,13,13
"Ii","Total","Total","Emigration from Finland",8,4,3,2,5,4,7,3,10,10,19,21,14,13,15,19,10,9,13,11,12,14,5,7,7,5,4,8,4,5,3,3,8,5,7
